SITE(S) = 0, ;;;;;08/03/2025
;;RECAPITULATIF ENCAISSEMENT;;;
DEBUT = 01/02/2025;;;;FIN = 28/02/2025;
RECAPITULATIF ENCAISSEMENT;;;;;
DATE;ENCAISSEMENT;APPORTS;SORTIES;RETRAITS;
01/02/2025;123;0;0;-130;
02/02/2025;0;0;0;0;
03/02/2025;0;0;0;0;
04/02/2025;57;0;0;-70;
05/02/2025;76;0;0;-90;
06/02/2025;53;0;0;-53;
07/02/2025;53;0;0;-37;
08/02/2025;36;0;0;-50;
09/02/2025;0;0;0;0;
10/02/2025;0;0;0;0;
11/02/2025;63;0;0;-60;
12/02/2025;89;0;0;-100;
13/02/2025;16;0;0;0;
14/02/2025;76;0;0;-90;
15/02/2025;56;0;0;-40;
16/02/2025;0;0;0;0;
17/02/2025;0;0;0;0;
18/02/2025;11;0;0;-30;
19/02/2025;16;0;0;0;
20/02/2025;44;0;0;0;
21/02/2025;42;0;0;-80;
22/02/2025;73;0;0;-90;
23/02/2025;0;0;0;0;
24/02/2025;0;0;0;0;
25/02/2025;44;0;0;0;
26/02/2025;31;0;0;-50;
27/02/2025;83;0;0;-80;
28/02/2025;33;0;0;0;
;1073;0;0;-1050;
Nombre de lignes :;;;;;
;;;;;1/1