SITE(S) = 0, ;;;;;;;;;;;;;;08/03/2025
;;;;;RECAPITULATIF REGLEMENTS;;;;;;;;;
DEBUT = 01/02/2025;;;;;;;;;;;;;FIN = 28/02/2025;
RECAPITULATIF REGLEMENT;;;;;;;;;;;;;;
Date;ESPECES;CHEQUES;CARTES;VIREMENT;KEETIZ;;;CREDIT;REGUL;;;;BON ACHAT;TOTAL
01/02/25;123;0;452;0;0;0;0;0;0;0;0;0;0;574,85
02/02/25;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00
03/02/25;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00
04/02/25;57;0;189;0;0;0;0;0;0;0;0;0;0;246,28
05/02/25;76;0;102;0;0;0;0;0;0;0;0;0;0;178,00
06/02/25;53;0;91;0;0;0;0;0;0;0;0;0;0;144,67
07/02/25;53;0;309;0;0;0;0;0;0;0;0;0;0;361,67
08/02/25;36;0;215;0;0;0;0;0;0;0;0;0;0;250,82
09/02/25;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00
10/02/25;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00
11/02/25;63;0;150;0;0;0;0;0;0;0;0;0;0;212,69
12/02/25;89;0;46;0;0;0;0;0;0;0;0;0;0;135,56
13/02/25;16;0;168;0;0;0;0;0;0;0;0;0;0;183,54
14/02/25;76;0;364;0;0;0;0;0;0;0;0;0;0;440,91
15/02/25;56;0;372;0;0;0;0;0;0;0;0;0;0;428,28
16/02/25;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00
17/02/25;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00
18/02/25;11;0;228;0;0;0;0;0;0;0;0;0;0;238,66
19/02/25;16;0;46;0;0;0;0;0;0;0;0;0;0;62,18
20/02/25;44;0;224;0;0;0;0;0;0;0;0;0;0;267,86
21/02/25;42;0;264;0;0;0;0;0;0;0;0;0;0;305,78
22/02/25;73;0;273;0;0;0;0;0;0;0;0;0;0;346,35
23/02/25;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00
24/02/25;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00
25/02/25;44;0;208;0;0;0;0;0;0;0;0;0;0;252,39
26/02/25;31;0;172;0;0;0;0;0;0;0;0;0;0;202,64
27/02/25;83;0;125;0;0;0;0;0;0;0;0;0;0;207,97
28/02/25;33;0;224;0;0;0;0;0;0;0;0;0;0;257,08
;1073;0;4225;0;0;0;0;0;0;0;0;0;0;5â€¯298,18
Nombre de lignes :;;28;;;;;;;;;;;;
;;;;;;;;;;;;;;1/1