Journal;Jour;Compte;Libelle;Debit;Credit
VE;01/04/2025;7071;Vente 5,5%;;116,27
VE;01/04/2025;4457111;TVA 5,5%;;6,40
VE;01/04/2025;7072;Vente 20%;;4,78
VE;01/04/2025;445711;TVA 20%;;0,96
VE;01/04/2025;580CB;CB;189,95;
VE;01/04/2025;530;Especes;15,28;
VE;02/04/2025;7071;Vente 5,5%;;272,82
VE;02/04/2025;4457111;TVA 5,5%;;15,00
VE;02/04/2025;7072;Vente 20%;;36,09
VE;02/04/2025;445711;TVA 20%;;7,22
VE;02/04/2025;580CB;CB;231,41;
VE;02/04/2025;530;Especes;99,72;
VE;03/04/2025;7071;Vente 5,5%;;29,79
VE;03/04/2025;4457111;TVA 5,5%;;1,64
VE;03/04/2025;7072;Vente 20%;;18,87
VE;03/04/2025;445711;TVA 20%;;3,78
VE;03/04/2025;580CB;CB;0,00;
VE;03/04/2025;530;Especes;54,08;
VE;04/04/2025;7071;Vente 5,5%;;130,84
VE;04/04/2025;4457111;TVA 5,5%;;7,19
VE;04/04/2025;7072;Vente 20%;;46,78
VE;04/04/2025;445711;TVA 20%;;9,36
VE;04/04/2025;580CB;CB;168,85;
VE;04/04/2025;530;Especes;25,32;
VE;05/04/2025;7071;Vente 5,5%;;582,11
VE;05/04/2025;4457111;TVA 5,5%;;32,01
VE;05/04/2025;7072;Vente 20%;;210,06
VE;05/04/2025;445711;TVA 20%;;42,01
VE;05/04/2025;580CB;CB;806,97;
VE;05/04/2025;530;Especes;59,22;
VE;08/04/2025;7071;Vente 5,5%;;273,13
VE;08/04/2025;4457111;TVA 5,5%;;15,02
VE;08/04/2025;7072;Vente 20%;;58,43
VE;08/04/2025;445711;TVA 20%;;11,69
VE;08/04/2025;580CB;CB;322,37;
VE;08/04/2025;530;Especes;35,90;
VE;09/04/2025;7071;Vente 5,5%;;127,51
VE;09/04/2025;4457111;TVA 5,5%;;7,01
VE;09/04/2025;7072;Vente 20%;;25,78
VE;09/04/2025;445711;TVA 20%;;5,16
VE;09/04/2025;580CB;CB;89,22;
VE;09/04/2025;530;Especes;76,24;
VE;10/04/2025;7071;Vente 5,5%;;164,99
VE;10/04/2025;4457111;TVA 5,5%;;9,07
VE;10/04/2025;7072;Vente 20%;;39,26
VE;10/04/2025;445711;TVA 20%;;7,85
VE;10/04/2025;580CB;CB;162,06;
VE;10/04/2025;530;Especes;59,11;
VE;11/04/2025;7071;Vente 5,5%;;113,02
VE;11/04/2025;4457111;TVA 5,5%;;6,22
VE;11/04/2025;7072;Vente 20%;;12,76
VE;11/04/2025;445711;TVA 20%;;2,55
VE;11/04/2025;580CB;CB;131,35;
VE;11/04/2025;530;Especes;3,20;
VE;12/04/2025;7071;Vente 5,5%;;287,96
VE;12/04/2025;4457111;TVA 5,5%;;15,84
VE;12/04/2025;7072;Vente 20%;;105,89
VE;12/04/2025;445711;TVA 20%;;21,18
VE;12/04/2025;580CB;CB;396,10;
VE;12/04/2025;530;Especes;34,77;
VE;15/04/2025;7071;Vente 5,5%;;237,21
VE;15/04/2025;4457111;TVA 5,5%;;13,05
VE;15/04/2025;7072;Vente 20%;;59,15
VE;15/04/2025;445711;TVA 20%;;11,83
VE;15/04/2025;580CB;CB;269,67;
VE;15/04/2025;530;Especes;51,57;
VE;16/04/2025;7071;Vente 5,5%;;235,00
VE;16/04/2025;4457111;TVA 5,5%;;12,92
VE;16/04/2025;7072;Vente 20%;;101,73
VE;16/04/2025;445711;TVA 20%;;20,35
VE;16/04/2025;580CB;CB;317,64;
VE;16/04/2025;530;Especes;52,36;
VE;17/04/2025;7071;Vente 5,5%;;93,77
VE;17/04/2025;4457111;TVA 5,5%;;5,16
VE;17/04/2025;7072;Vente 20%;;12,67
VE;17/04/2025;445711;TVA 20%;;2,53
VE;17/04/2025;580CB;CB;90,96;
VE;17/04/2025;530;Especes;23,17;
VE;18/04/2025;7071;Vente 5,5%;;213,84
VE;18/04/2025;4457111;TVA 5,5%;;11,76
VE;18/04/2025;7072;Vente 20%;;50,72
VE;18/04/2025;445711;TVA 20%;;10,14
VE;18/04/2025;580CB;CB;250,66;
VE;18/04/2025;530;Especes;35,80;
VE;19/04/2025;7071;Vente 5,5%;;175,70
VE;19/04/2025;4457111;TVA 5,5%;;9,66
VE;19/04/2025;7072;Vente 20%;;45,28
VE;19/04/2025;445711;TVA 20%;;9,06
VE;19/04/2025;580CB;CB;236,76;
VE;19/04/2025;530;Especes;2,94;
VE;22/04/2025;7071;Vente 5,5%;;11,90
VE;22/04/2025;4457111;TVA 5,5%;;0,65
VE;22/04/2025;7072;Vente 20%;;7,71
VE;22/04/2025;445711;TVA 20%;;1,54
VE;22/04/2025;580CB;CB;0,00;
VE;22/04/2025;530;Especes;21,80;
VE;23/04/2025;7071;Vente 5,5%;;123,48
VE;23/04/2025;4457111;TVA 5,5%;;6,79
VE;23/04/2025;7072;Vente 20%;;46,88
VE;23/04/2025;445711;TVA 20%;;9,38
VE;23/04/2025;580CB;CB;176,00;
VE;23/04/2025;530;Especes;10,53;
VE;24/04/2025;7071;Vente 5,5%;;164,68
VE;24/04/2025;4457111;TVA 5,5%;;9,06
VE;24/04/2025;7072;Vente 20%;;35,34
VE;24/04/2025;445711;TVA 20%;;7,07
VE;24/04/2025;580CB;CB;200,85;
VE;24/04/2025;530;Especes;15,30;
VE;25/04/2025;7071;Vente 5,5%;;151,42
VE;25/04/2025;4457111;TVA 5,5%;;8,33
VE;25/04/2025;7072;Vente 20%;;15,61
VE;25/04/2025;445711;TVA 20%;;3,12
VE;25/04/2025;580CB;CB;96,16;
VE;25/04/2025;530;Especes;82,32;
VE;26/04/2025;7071;Vente 5,5%;;171,90
VE;26/04/2025;4457111;TVA 5,5%;;9,45
VE;26/04/2025;7072;Vente 20%;;31,31
VE;26/04/2025;445711;TVA 20%;;6,26
VE;26/04/2025;580CB;CB;178,69;
VE;26/04/2025;530;Especes;40,23;
VE;29/04/2025;7071;Vente 5,5%;;234,46
VE;29/04/2025;4457111;TVA 5,5%;;12,89
VE;29/04/2025;7072;Vente 20%;;23,17
VE;29/04/2025;445711;TVA 20%;;4,64
VE;29/04/2025;580CB;CB;234,00;
VE;29/04/2025;530;Especes;41,16;
VE;30/04/2025;7071;Vente 5,5%;;148,61
VE;30/04/2025;4457111;TVA 5,5%;;8,17
VE;30/04/2025;7072;Vente 20%;;85,26
VE;30/04/2025;445711;TVA 20%;;17,05
VE;30/04/2025;580CB;CB;189,03;
VE;30/04/2025;530;Especes;70,06;
